OID_,Join_Count,TARGET_FID,Unique_ID,Lat,Long,Date,Site_name,Date_1,Sex,L_HW_mm,L_FW_mm,Total_Length_mm,Metathoracic_Femur_Length_mm,F___12,Metathoracic_Femur_Length_mm_1,OBJECTID_1,HUC_8,HUC_10,HUC_12,ACRES,NCONTRB_A,HU_10_GNIS,HU_12_GNIS,HU_10_NAME,HU_10_MOD,HU_10_TYPE,HU_12_DS,HU_12_NAME,HU_12_MOD,HU_12_TYPE,META_ID,STATES,GlobalID,SHAPE_Leng,GAZ_ID
34,1,34,F-81,30.426304999999999,-85.295137999999994,26810,FL: Calhoun Co.,Juniper Creek at Route 20,female,23.38,24.36,38.850000000000001,7.17,NA,,230518,03130012,0313001205,031300120505,36414.688517800001136,0.000000000000000, , ,Tenmile Creek-Chipola River,NM,S,031300120504,Juniper Creek-Chipola River,NM,S,FL01,FL,{3717A947-394D-4E8A-8A03-05F6FB9CB61A},0.892268555881000,-449540
35,1,35,F-94,30.426304999999999,-85.295137999999994,26810,FL: Calhoun Co.,Juniper Creek at Hwy 20,female,24.03,25.77,38.680000000000000,6.41,NA,,230518,03130012,0313001205,031300120505,36414.688517800001136,0.000000000000000, , ,Tenmile Creek-Chipola River,NM,S,031300120504,Juniper Creek-Chipola River,NM,S,FL01,FL,{3717A947-394D-4E8A-8A03-05F6FB9CB61A},0.892268555881000,-449540
36,1,36,F-27,30.525044999999999,-84.969880000000003,26810,FL: Liberty Co.,Sweetwater Creek and Route 270,male,26.86,28.76,44.229999999999997,7.44,NA,,230458,03130011,0313001104,031300110402,10932.775961699999243,0.000000000000000, , ,Stafford Creek-Apalachicola River,NM,S,031300110404,Sweetwater Creek-Apalachicola River,NM,S,FL01,FL,{868DD2A9-52C0-4E90-991B-407D9606E844},0.316140766217000,-449480
37,1,37,F-19,30.583428999999999,-84.880913000000007,26811,FL: Gadsden Co.,Crooked Creek; Hwy 12,female,27.69,29.78,45.390000000000001,8.32,NA,,230441,03130011,0313001102,031300110203,17935.344548500001110,0.000000000000000, , ,Apalachicola River-Spring Branch,NM,S,031300110201,Lower Flat Creek-Apalachicola River,NM,S,FL01,FL,{9817EAB9-7729-46ED-B48E-72CD3BD88453},0.481553649742000,-449463
38,1,38,F-20,30.583428999999999,-84.880913000000007,26812,FL: Gadsden Co.,Crooked Creek; Hwy 12,male,25.78,28.06,43.780000000000001,7.97,NA,,230441,03130011,0313001102,031300110203,17935.344548500001110,0.000000000000000, , ,Apalachicola River-Spring Branch,NM,S,031300110201,Lower Flat Creek-Apalachicola River,NM,S,FL01,FL,{9817EAB9-7729-46ED-B48E-72CD3BD88453},0.481553649742000,-449463
39,1,39,F-13,30.426304999999999,-85.295137999999994,26827,FL: Calhoun Co.,Juniper Creek at Hwy 20,female,24.21,25.57,38.820000000000000,7.27,NA,,230518,03130012,0313001205,031300120505,36414.688517800001136,0.000000000000000, , ,Tenmile Creek-Chipola River,NM,S,031300120504,Juniper Creek-Chipola River,NM,S,FL01,FL,{3717A947-394D-4E8A-8A03-05F6FB9CB61A},0.892268555881000,-449540
40,1,40,F-71,30.719040000000000,-86.809068999999994,27103,FL: Santa Rosa Co.,Creek near Riley's Landing; Blackwater River SF,male,23.06,24.2,40.820000000000000,7.58,NA,,174647,03140104,0314010402,031401040205,22464.877215000000433,0.000000000000000, , ,Blackwater River,NM,S,031401040304,Ninemile Creek-Blackwater River,NM,S,AL08,FL,{182D5BE4-240E-48AE-827E-8B91C2724DAD},0.501062969132000,-448506
41,1,41,F-66,30.652519000000002,-86.805443999999994,27103,FL: Santa Rosa Co.,Carr Lake,male,22.93,24.78,39.240000000000002,6.43,NA,,174634,03140103,0314010308,031401030803,22836.653830300001573,0.000000000000000, , ,Lower Yellow River,NM,S,031401030804,Milligan Creek-Yellow Creek,NM,S,AL08,FL,{D2F8CD58-E700-40CE-B346-D14282C3EC2C},0.496639735838000,-448493
42,1,42,F-02,30.680869000000001,-87.131867999999997,27104,FL: Santa Rosa Co.,Pond Creek ~4 mi North of Route  191 bridge,male,24.37,25.47,38.600000000000001,6.49,NA,,174646,03140104,0314010405,031401040502,30968.872870100000000,0.000000000000000, , ,Pond Creek-Blackwater River,NM,S,031401040503,Lower Pond Creek-Blackwater River,NM,S,AL08,FL,{37A931C2-96A6-4BC2-8852-5912BC637E7B},0.669883121917000,-448505
43,1,43,F-54,30.719040000000000,-86.809068999999994,27105,FL: Santa Rosa Co.,Blackwater River SF: Creek near Riley's Landing,male,23.96,25.92,39.170000000000002,6.39,NA,,174647,03140104,0314010402,031401040205,22464.877215000000433,0.000000000000000, , ,Blackwater River,NM,S,031401040304,Ninemile Creek-Blackwater River,NM,S,AL08,FL,{182D5BE4-240E-48AE-827E-8B91C2724DAD},0.501062969132000,-448506
